at_handle,wfo,count,is_wfo
lbf.weather.im,LBF,2.0,True
lch.weather.im,LCH,3.0,True
lix.weather.im,LIX,2.0,True
lkn.weather.im,LKN,2.0,True
lmk.weather.im,LMK,5.0,True
lot.weather.im,LOT,17.0,True
lox.weather.im,LOX,19.0,True
lsx.weather.im,LSX,8.0,True
lub.weather.im,LUB,1.0,True
lwx.weather.im,LWX,12.0,True
lzk.weather.im,LZK,3.0,True
maf.weather.im,MAF,3.0,True
meg.weather.im,MEG,10.0,True
mfl.weather.im,MFL,13.0,True
mfr.weather.im,MFR,14.0,True
mhx.weather.im,MHX,5.0,True
mkx.weather.im,MKX,9.0,True
mlb.weather.im,MLB,3.0,True
mob.weather.im,MOB,15.0,True
mpx.weather.im,MPX,29.0,True
mqt.weather.im,MQT,6.0,True
mrx.weather.im,MRX,3.0,True
mso.weather.im,MSO,5.0,True
mtr.weather.im,MTR,30.0,True
mwn.weather.im,MWN,3.0,False
nes.weather.im,NES,2.0,False
nhc.weather.im,NHC,71.0,False
oax.weather.im,OAX,13.0,True
ohx.weather.im,OHX,8.0,True
okx.weather.im,OKX,8.0,True
otx.weather.im,OTX,4.0,True
oun.weather.im,OUN,37.0,True
pah.weather.im,PAH,1.0,True
pbz.weather.im,PBZ,11.0,True
pds.weather.im,PDS,2.0,False
pdt.weather.im,PDT,4.0,True
phi.weather.im,PHI,25.0,True
pih.weather.im,PIH,2.0,True
pqr.weather.im,PQR,10.0,True
psr.weather.im,PSR,13.0,True
pub.weather.im,PUB,5.0,True
rah.weather.im,RAH,18.0,True
rer.weather.im,RER,11.0,False
rev.weather.im,REV,18.0,True
riw.weather.im,RIW,3.0,True
rlx.weather.im,RLX,5.0,True
rnk.weather.im,RNK,3.0,True
sew.weather.im,SEW,60.0,True
sgf.weather.im,SGF,4.0,True
sgx.weather.im,SGX,13.0,True
shv.weather.im,SHV,4.0,True
sjt.weather.im,SJT,12.0,True
sju.weather.im,JSJ,8.0,True
slc.weather.im,SLC,6.0,True
spc.weather.im,SPC,198.0,False
sqw.weather.im,SQW,6.0,False
sto.weather.im,STO,19.0,True
stu.weather.im,STU,2.0,False
tae.weather.im,TAE,4.0,True
tbw.weather.im,TBW,4.0,True
tfx.weather.im,TFX,10.0,True
top.weather.im,TOP,2.0,True
tsa.weather.im,TSA,7.0,True
twc.weather.im,TWC,4.0,True
unr.weather.im,UNR,13.0,True
vef.weather.im,VEF,14.0,True
wbc.weather.im,WBC,4.0,False
wco.weather.im,WCO,1.0,False
wno.weather.im,WNO,3.0,False
wnp.weather.im,WNP,7.0,False
wpc.weather.im,WPC,59.0,False
zab.weather.im,ZAB,1.0,False
zan.weather.im,ZAN,1.0,False
zau.weather.im,ZAU,1.0,False
zbw.weather.im,ZBW,2.0,False
zdc.weather.im,ZDC,2.0,False
zdv.weather.im,ZDV,1.0,False
zfw.weather.im,ZFW,1.0,False
zhn.weather.im,ZHN,1.0,False
zhu.weather.im,ZHU,1.0,False
zid.weather.im,ZID,2.0,False
zjx.weather.im,ZJX,2.0,False
zkc.weather.im,ZKC,2.0,False
zla.weather.im,ZLA,1.0,False
zlc.weather.im,ZLC,1.0,False
zma.weather.im,ZMA,1.0,False
zme.weather.im,ZME,2.0,False
zmp.weather.im,ZMP,2.0,False
zny.weather.im,ZNY,2.0,False
zoa.weather.im,ZOA,2.0,False
zob.weather.im,ZOB,9.0,False
zse.weather.im,ZSE,8.0,False
ztl.weather.im,ZTL,8.0,False
