at_handle,wfo,count,is_wfo
aaq.weather.im,AAQ,2.0,False
abq.weather.im,ABQ,16.0,True
abr.weather.im,ABR,11.0,True
afc.weather.im,AFC,20.0,True
afg.weather.im,AFG,8.0,True
ajk.weather.im,AJK,10.0,True
akq.weather.im,AKQ,21.0,True
aly.weather.im,ALY,13.0,True
ama.weather.im,AMA,9.0,True
apx.weather.im,APX,9.0,True
arx.weather.im,ARX,13.0,True
bgm.weather.im,BGM,11.0,True
bis.weather.im,BIS,10.0,True
bmx.weather.im,BMX,8.0,True
boi.weather.im,BOI,8.0,True
bou.weather.im,BOU,24.0,True
box.weather.im,BOX,68.0,True
bro.weather.im,BRO,9.0,True
btv.weather.im,BTV,7.0,True
buf.weather.im,BUF,17.0,True
byz.weather.im,BYZ,7.0,True
cae.weather.im,CAE,2.0,True
car.weather.im,CAR,3.0,True
chs.weather.im,CHS,7.0,True
cle.weather.im,CLE,15.0,True
cpc.weather.im,CPC,5.0,False
crp.weather.im,CRP,4.0,True
ctp.weather.im,CTP,12.0,True
cys.weather.im,CYS,20.0,True
ddc.weather.im,DDC,2.0,True
dlh.weather.im,DLH,11.0,True
dmg.weather.im,DMG,79.0,False
dmx.weather.im,DMX,15.0,True
dtx.weather.im,DTX,6.0,True
dvn.weather.im,DVN,16.0,True
eax.weather.im,EAX,12.0,True
eka.weather.im,EKA,15.0,True
emergency.weather.im,EME,78.0,False
epz.weather.im,EPZ,2.0,True
ewx.weather.im,EWX,14.0,True
ffc.weather.im,FFC,14.0,True
fgf.weather.im,FGF,3.0,True
fgz.weather.im,FGZ,4.0,True
fsd.weather.im,FSD,10.0,True
ftm.weather.im,FTM,4.0,False
fwd.weather.im,FWD,12.0,True
ggw.weather.im,GGW,2.0,True
gid.weather.im,GID,2.0,True
gjt.weather.im,GJT,5.0,True
gld.weather.im,GLD,3.0,True
grb.weather.im,GRB,14.0,True
grr.weather.im,GRR,4.0,True
gsp.weather.im,GSP,8.0,True
gum.weather.im,GUM,2.0,True
gyx.weather.im,GYX,3.0,True
heb.weather.im,HEB,3.0,False
hfo.weather.im,HFO,2.0,True
hgx.weather.im,HGX,13.0,True
hnx.weather.im,HNX,16.0,True
hun.weather.im,HUN,5.0,True
ict.weather.im,ICT,3.0,True
ilm.weather.im,ILM,5.0,True
iln.weather.im,ILN,8.0,True
ilx.weather.im,ILX,9.0,True
ind.weather.im,IND,2.0,True
iwx.weather.im,IWX,4.0,True
jan.weather.im,JAN,4.0,True
jax.weather.im,JAX,3.0,True
jkl.weather.im,JKL,2.0,True
kci.weather.im,KCI,1.0,False
key.weather.im,KEY,3.0,True
